This list contains all games supported by FB Alpha.

5033 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| g_alexk1	|  	| Alex Kidd - Tenkuu Majou (Japan)			| g_alexkd	| 1989	| Sega License	| Megadrive	| 					|
| g_alexk3	|  	| Alex Kidd in the Enchanted Castle (Europe)		| g_alexkd	| 1989	| Sega License	| Megadrive	| 					|
| g_alexkd	|  	| Alex Kidd in the Enchanted Castle (Europe) (Rev A)	| 		| 1989	| Sega License	| Megadrive	| 					|
| g_alexk4	|  	| Alex Kidd in the Enchanted Castle (USA)		| g_alexkd	| 1989	| Sega License	| Megadrive	| 					|
| alexkidd1	|  	| Alex Kidd: The Lost Stars (set 1, FD1089A 317-unknown)| alexkidd	| 1986	| Sega		| System 16A	| 					|
| alexkidd	|  	| Alex Kidd: The Lost Stars (set 2, unprotected)	| 		| 1986	| Sega		| System 16A	| 					|
| alibaba	|  	| Ali Baba and 40 Thieves				| 		| 1982	| Sega		| Pac-man	| 					|
| g_alien1	|  	| Alien 3 (USA, Europe)					| g_alienu	| 1900	| Sega License	| Megadrive	| 					|
| g_alienu	|  	| Alien 3 (USA, Europe) (Rev A)				| 		| 1900	| Sega License	| Megadrive	| 					|
| alienchac	|  	| Alien Challenge (China)				| aliencha	| 1994	| IGS		| Miscellaneous	| 					|
| aliencha	|  	| Alien Challenge (World)				| 		| 1994	| IGS		| Miscellaneous	| 					|
| aliensec	|  	| Alien Sector						| 		| 1985	| Namco		| Miscellaneous	| 					|
| g_aliens	|  	| Alien Soldier (Europe)				| 		| 1995	| Sega License	| Megadrive	| 					|
| g_alien2	|  	| Alien Soldier (Japan)					| g_aliens	| 1995	| Sega License	| Megadrive	| 					|
| astormj	|  	| Alien Storm (set 1, Japan, 2 Players, FD1094 317-0146)| astorm	| 1990	| Sega		| System 18	| 					|
| astormu	|  	| Alien Storm (set 2, US, 3 Players, FD1094 317-0147)	| astorm	| 1990	| Sega		| System 18	| 					|
| astorm3	|  	| Alien Storm (set 3, World, 3 Players, FD1094 317-0148)| astorm	| 1990	| Sega		| System 18	| 					|
| astorm	|  	| Alien Storm (set 4, World, 2 Players, FD1094 317-0154)| 		| 1990	| Sega		| System 18	| 					|
| g_alstm	|  	| Alien Storm (World)					| 		| 1991	| Sega License	| Megadrive	| 					|
| aliensynjo	|  	| Alien Syndrome (set 1, Japan, old, System 16A, FD1089A| aliensyn	| 1987	| Sega		| System 16A	| 					|
| aliensyn2	|  	| Alien Syndrome (set 2, System 16A, FD1089A 317-0033)	| aliensyn	| 1987	| Sega		| System 16A	| 					|
| aliensyn3	|  	| Alien Syndrome (set 3, System 16B, FD1089A 317-0033)	| aliensyn	| 1987	| Sega		| System 16B	| 					|
| aliensyn	|  	| Alien Syndrome (set 4, System 16B, unprotected)	| 		| 1987	| Sega		| System 16B	| 					|
| aliensyn5	|  	| Alien Syndrome (set 5, System 16A, FD1089B 317-0037)	| aliensyn	| 1987	| Sega		| System 16A	| 					|
| aliensynj	|  	| Alien Syndrome (set 6, Japan, new, System 16B, FD1089A| aliensyn	| 1987	| Sega		| System 16B	| 					|
| avspa		|  	| Alien vs Predator (940520 Asia)			| avsp		| 1994	| Capcom	| CPS2		| 					|
| avspd		|  	| Alien vs Predator (940520 Euro Phoenix Edition)	| avsp		| 1994	| bootleg	| CPS2		| 					|
| avsp		|  	| Alien vs Predator (940520 Euro)			| 		| 1994	| Capcom	| CPS2		| 					|
| avsph		|  	| Alien vs Predator (940520 Hispanic)			| avsp		| 1994	| Capcom	| CPS2		| 					|
| avspj		|  	| Alien vs Predator (940520 Japan)			| avsp		| 1994	| Capcom	| CPS2		| 					|
| avspu		|  	| Alien vs Predator (940520 USA)			| avsp		| 1994	| Capcom	| CPS2		| 					|
| aliensa	|  	| Aliens (Asia)						| aliens	| 1990	| Konami	| GX875		| 					|
| aliensj	|  	| Aliens (Japan set 1)					| aliens	| 1990	| Konami	| GX875		| 					|
| aliensj2	|  	| Aliens (Japan set 2)					| aliens	| 1990	| Konami	| GX875		| 					|
| aliensu	|  	| Aliens (US)						| aliens	| 1990	| Konami	| GX875		| 					|
| aliens	|  	| Aliens (World set 1)					| 		| 1990	| Konami	| GX875		| 					|
| aliens2	|  	| Aliens (World set 2)					| aliens	| 1990	| Konami	| GX875		| 					|
| aliens3	|  	| Aliens (World set 3)					| aliens	| 1990	| Konami	| GX875		| 					|
| g_alisia	|  	| Alisia Dragoon (Europe)				| 		| 1992	| Sega License	| Megadrive	| 					|
| g_alisi1	|  	| Alisia Dragoon (Japan)				| g_alisia	| 1992	| Sega License	| Megadrive	| 					|
| g_alisi2	|  	| Alisia Dragoon (USA)					| g_alisia	| 1992	| Sega License	| Megadrive	| 					|
| alpham2	|  	| Alpha Mission II / ASO II - Last Guardian		| 		| 1991	| SNK		| Neo Geo	| 					|
| altbeast2	|  	| Altered Beast (set 2, MC-8123B 317-0066)		| altbeast	| 1988	| Sega		| System 16B	| 					|
| altbeast4	|  	| Altered Beast (set 4, MC-8123B 317-0066)		| altbeast	| 1988	| Sega		| System 16B	| 					|
| altbeast5	|  	| Altered Beast (set 5, 8751 317-0076)			| altbeast	| 1988	| Sega		| System 16B	| 					|
| altbeast	|  	| Altered Beast (set 7, 8751 317-0078)			| 		| 1988	| Sega		| System 16B	| 					|
